start_time,app_time,flip,flip_value,energy_uj_dram,app_state,num_read
1659017444750280278,5445417302,0,0,45478888700,0,65000
1659017444811340338,5506477362,0,0,45478919523,0,65000
1659017444872400487,5567537511,1,549755813888,45478950468,0,65000
1659017444933460787,5628597811,0,0,45478981351,0,65000
1659017444994520469,5689657493,0,0,45479012235,0,65000
1659017445055580482,5750717506,0,0,45479043668,0,65000
1659017445116640540,5811777564,0,0,45479074613,0,65000
1659017445177700615,5872837639,1,549755813888,45479105497,0,65000
1659017445238760655,5933897679,0,0,45479136380,0,65000
1659017445299820677,5994957701,1,549755813888,45479167325,0,65000
1659017445360880798,6056017822,1,549755813888,45479198209,0,65000
1659017445421940784,6117077808,0,0,45479229092,0,65000
1659017445483000893,6178137917,1,549755813888,45479260037,0,65000
1659017445544060943,6239197967,0,0,45479290921,0,65000
1659017445605121011,6300258035,1,549755813888,45479321805,0,65000
1659017445666181003,6361318027,0,0,45479352688,0,65000
1659017445727241105,6422378129,1,549755813888,45479383572,0,65000
1659017445788301181,6483438205,1,549755813888,45479414456,0,65000
1659017445849361231,6544498255,1,549755813888,45479445400,0,65000
1659017445910421278,6605558302,0,0,45479476345,0,65000
1659017445971481345,6666618369,0,0,45479507229,0,65000
1659017446032541307,6727678331,0,0,45479538174,0,65000
1659017446093601399,6788738423,0,0,45479569485,0,65000
1659017446154661458,6849798482,1,549755813888,45479600429,0,65000
1659017446215721527,6910858551,1,549755813888,45479631374,0,65000
1659017446276781552,6971918576,0,0,45479662258,0,65000
1659017446337841605,7032978629,0,0,45479693142,0,65000
1659017446398901627,7094038651,0,0,45479723964,0,65000
1659017446459961710,7155098734,1,549755813888,45479754909,0,65000
1659017446521021771,7216158795,1,549755813888,45479785732,0,65000
1659017446582081799,7277218823,0,0,45479816676,0,65000
1659017446643141865,7338278889,1,549755813888,45479847560,0,65000
1659017446704201897,7399338921,1,549755813888,45479878444,0,65000
1659017446765262020,7460399044,1,549755813888,45479909327,0,65000
1659017446826322046,7521459070,1,549755813888,45479940211,0,65000
1659017446887382064,7582519088,1,549755813888,45479971095,0,65000
1659017446948442128,7643579152,0,0,45480001979,0,65000
1659017447009502227,7704639251,1,549755813888,45480032923,0,65000
1659017447070562202,7765699226,1,549755813888,45480063746,0,65000
1659017447131622253,7826759277,0,0,45480094691,0,65000
1659017447192682316,7887819340,0,0,45480126185,0,65000
1659017447253742447,7948879471,0,0,45480157008,0,65000
1659017447314802789,8009939813,1,549755813888,45480187891,0,65000
1659017447375862480,8070999504,0,0,45480218775,0,65000
1659017447436922560,8132059584,0,0,45480249659,65537,65000
1659017447497982596,8193119620,1,549755813888,45480280542,65537,65000
1659017447559042666,8254179690,1,549755813888,45480311487,65537,65000
1659017447620102728,8315239752,1,549755813888,45480342371,65537,65000
1659017447681162760,8376299784,0,0,45480373255,65537,65000
1659017447742222855,8437359879,1,549755813888,45480404138,65537,65000
1659017447803282902,8498419926,1,549755813888,45480435083,65537,65000
1659017447864342901,8559479925,1,549755813888,45480465967,65537,65000
1659017447925402945,8620539969,0,0,45480496850,65537,65000
1659017447986462983,8681600007,1,549755813888,45480528283,65537,65000
1659017448047523067,8742660091,0,0,45480559167,65537,65000
1659017448108583125,8803720149,0,0,45480589502,65537,65000
1659017448169643135,8864780159,1,549755813888,45480620935,65537,65000
1659017448230703222,8925840246,1,549755813888,45480651818,65537,65000
1659017448291763258,8986900282,1,549755813888,45480682702,65537,65000
1659017448352823291,9047960315,0,0,45480713586,65537,65000
1659017448413883410,9109020434,1,549755813888,45480744469,65537,65000
1659017448474943408,9170080432,1,549755813888,45480775353,65537,65000
1659017448536003462,9231140486,1,549755813888,45480806237,65537,65000
1659017448597063513,9292200537,1,549755813888,45480837121,65537,65000
1659017448658123616,9353260640,1,549755813888,45480868004,65537,65000
1659017448719183647,9414320671,1,549755813888,45480898949,65537,65000
1659017448780244008,9475381032,1,549755813888,45480929833,65537,65000
1659017448841303762,9536440786,0,0,45480960777,65537,65000
1659017448902363799,9597500823,0,0,45480991600,65537,65000
1659017448963423890,9658560914,1,549755813888,45481022484,65537,65000
1659017449024483934,9719620958,0,0,45481053429,65537,65000
1659017449085543994,9780681018,1,549755813888,45481084312,65537,65000
1659017449146603958,9841740982,1,549755813888,45481115684,65537,65000
1659017449207664090,9902801114,0,0,45481146629,65537,65000
1659017449268724064,9963861088,1,549755813888,45481177513,65537,65000
1659017449329784141,10024921165,1,549755813888,45481208396,65537,65000
1659017449390844250,10085981274,1,549755813888,45481239280,65537,65000
1659017449451904244,10147041268,0,0,45481270164,65537,65000
1659017449512964357,10208101381,1,549755813888,45481301048,65537,65000
1659017449574024376,10269161400,0,0,45481331931,65537,65000
1659017449635084478,10330221502,0,0,45481362876,65537,65000
1659017449696144679,10391281703,0,0,45481393760,65537,65000
1659017449757204475,10452341499,1,549755813888,45481424643,65537,65000
1659017449818264569,10513401593,1,549755813888,45481455527,65537,65000
1659017449879324632,10574461656,1,549755813888,45481486472,65537,65000
1659017449940384637,10635521661,1,549755813888,45481517295,65537,65000
1659017450001444734,10696581758,1,549755813888,45481548239,65537,65000
1659017450062504817,10757641841,1,549755813888,45481579184,65537,65000
1659017450123564849,10818701873,0,0,45481610007,65537,65000
1659017450184624856,10879761880,1,549755813888,45481640890,65537,65000
1659017450245684927,10940821951,0,0,45481672384,65537,65000
1659017450306744952,11001881976,1,549755813888,45481703207,65537,65000
1659017450367805008,11062942032,1,549755813888,45481734091,65537,65000
1659017450428865093,11124002117,0,0,45481764975,65537,65000
1659017450489925131,11185062155,1,549755813888,45481795858,65537,65000
1659017450550985149,11246122173,0,0,45481828329,65537,65000
1659017450612045245,11307182269,0,0,45481862325,131074,65000
1659017450673105322,11368242346,0,0,45481896322,131074,65000
1659017450734165314,11429302338,1,549755813888,45481930318,131074,65000
1659017450795225405,11490362429,1,549755813888,45481964254,131074,65000
1659017450856285458,11551422482,1,549755813888,45481998189,131074,65000
1659017450917345529,11612482553,0,0,45482032186,131074,65000
1659017450978405587,11673542611,0,0,45482066182,131074,65000
1659017451039465568,11734602592,0,0,45482100179,131074,65000
1659017451100525681,11795662705,0,0,45482134664,131074,65000
1659017451161585760,11856722784,0,0,45482168660,131074,65000
1659017451222645755,11917782779,0,0,45482202657,131074,65000
1659017451283705843,11978842867,0,0,45482236592,131074,65000
1659017451344765893,12039902917,0,0,45482270650,131074,65000
1659017451405825881,12100962905,0,0,45482304585,131074,65000
1659017451466885969,12162022993,0,0,45482338520,131074,65000
1659017451527945983,12223083007,0,0,45482372517,131074,65000
1659017451589006036,12284143060,0,0,45482406513,131074,65000
1659017451650066251,12345203275,0,0,45482440449,131074,65000
1659017451711126151,12406263175,1,549755813888,45482474445,131074,65000
1659017451772186279,12467323303,0,0,45482508442,131074,65000
1659017451833246478,12528383502,0,0,45482542438,131074,65000
1659017451894306739,12589443763,0,0,45482576435,131074,65000
1659017451955366432,12650503456,0,0,45482610431,131074,65000
1659017452016426536,12711563560,1,549755813888,45482644367,131074,65000
1659017452077486543,12772623567,0,0,45482678363,131074,65000
1659017452138546537,12833683561,0,0,45482712848,131074,65000
1659017452199606572,12894743596,0,0,45482746784,131074,65000
1659017452260666641,12955803665,0,0,45482780719,131074,65000
1659017452321726727,13016863751,0,0,45482814716,131074,65000
1659017452382786741,13077923765,0,0,45482848712,131074,65000
1659017452443846856,13138983880,0,0,45482882709,131074,65000
