prefetch_ops,rapl_mapped,rapl_unmapped,hs_mapped,hs_unmapped
0,30693.777777777777,31539.875,0.0,0.0
1,31280.375,33135.22222222222,0.0,0.0
2,30700.666666666668,30768.444444444445,0.0,0.0
3,30761.666666666668,31021.0,0.0,0.0
4,33236.88888888889,30558.166666666668,0.0,0.0
5,31280.5,28360.916666666668,0.0,0.0
6,30673.444444444445,26306.125,0.0,0.0
7,30680.222222222223,23612.916666666668,0.0,0.0
8,33209.88888888889,24309.0,0.0,0.0
9,30687.0,23881.115384615383,0.0,0.0
10,33250.555555555555,23464.827586206895,0.0,0.034482758620689655
11,30782.0,22733.5,0.0,0.0
12,31310.875,23050.878787878788,0.0,0.0
13,30687.11111111111,22729.428571428572,0.0,0.0
14,30707.333333333332,22476.53846153846,0.0,0.02564102564102564
15,33284.444444444445,22218.190476190477,0.0,0.0
16,30693.777777777777,21929.590909090908,0.0,0.0
17,31295.75,21307.702127659573,0.0,0.02127659574468085
18,30788.777777777777,21396.960784313724,0.0,0.058823529411764705
19,30693.777777777777,20888.943396226416,0.0,0.03773584905660377
20,33250.555555555555,20658.736842105263,0.0,0.15789473684210525
21,30707.333333333332,20479.283333333333,0.0,0.1
22,31303.375,20315.93650793651,0.0,0.09523809523809523
23,30700.555555555555,19872.439393939392,0.0,0.10606060606060606
24,30707.444444444445,19806.72857142857,0.0,0.18571428571428572
25,32501.1,19644.904109589042,0.0,0.1232876712328767
26,31311.0,19310.355263157893,0.0,0.07894736842105263
27,30782.0,19211.525,0.0,0.1
28,33189.444444444445,19153.963855421687,0.0,0.13253012048192772
29,31448.25,19068.04705882353,0.0,0.23529411764705882
30,30775.222222222223,18991.494382022473,0.0,0.10112359550561797
31,33243.77777777778,18925.489130434784,0.0,0.13043478260869565
32,30687.0,18841.178947368422,0.0,0.1368421052631579
33,31417.75,18783.214285714286,0.0,0.061224489795918366
34,30714.222222222223,18715.9900990099,0.0,0.0594059405940594
35,30687.0,18647.365384615383,0.0,0.09615384615384616
36,33277.666666666664,18607.1214953271,0.0,0.1308411214953271
37,31318.5,18550.243243243243,0.0,0.14414414414414414
38,30802.333333333332,18498.42105263158,0.0,0.17543859649122806
39,30707.444444444445,18468.042735042734,0.0,0.36752136752136755
40,33291.22222222222,18415.92561983471,0.0,0.49586776859504134
41,31379.625,18385.43089430894,0.0,0.3902439024390244
42,30693.777777777777,18347.984251968504,0.0,0.2204724409448819
43,30802.333333333332,18324.68992248062,0.0,0.20155038759689922
44,32415.7,18286.18045112782,0.0,0.12030075187969924
45,31326.25,18248.566176470587,0.0,0.051470588235294115
46,30822.666666666668,18234.978417266186,0.0,0.10071942446043165
