num_read,flip,energy_uj_dram
30000,0.0,23018.05389221557
30000,0.0,21682.415189873416
30000,0.0,22500.94084507042
30000,0.0,21748.43989769821
30000,0.0,21086.384615384617
30000,0.0,20618.841648590023
30000,0.0,20222.766129032258
30000,0.0,19852.231775700933
30000,0.0,20249.328455284554
30000,0.0,20289.83582089552
30000,0.0,20429.258164852254
30000,0.0,20312.46597633136
30000,0.0,20097.953781512606
30000,0.0,19994.98389261745
30000,0.0,19804.25160462131
30000,0.0,19572.44143033292
30000,0.0,19337.61176470588
30000,0.0,19127.170428893904
30000,0.0,18950.107608695653
30000,0.0,18587.306841046277
30000,0.0,18424.18762088975
35000,0.0,23088.362573099414
35000,0.0,21785.26485148515
35000,0.0,22734.254901960783
35000,0.0,21955.093908629442
35000,0.0,21336.96064814815
35000,0.0,20857.790948275862
35000,0.0,20450.250996015937
35000,0.0,20117.5
35000,0.0,20513.822475570032
35000,0.0,20515.212871287127
35000,0.0,20713.076205287714
35000,0.0,20545.119469026547
35000,0.0,20359.23842917251
35000,0.0,20245.317269076306
35000,0.0,20046.41581632653
35000,0.0,19805.783088235294
35000,0.0,19596.671746776083
35000,0.0,19365.747757847534
35000,0.0,19203.83008658009
35000,0.0,18876.690211907164
35000,0.0,18699.69409486931
40000,0.0,23575.95508982036
40000,0.0,22221.22278481013
40000,0.0,23049.394366197183
40000,0.0,22289.480818414322
40000,0.0,21645.46261682243
40000,0.0,21183.24945770065
40000,0.0,20712.50796812749
40000,0.0,20374.53171641791
40000,0.0,20732.753267973858
40000,0.0,20777.95514950166
40000,0.0,20894.47433903577
40000,0.0,20815.19230769231
40000,0.0,20623.316011235955
40000,0.0,20515.286863270776
40000,0.0,20343.591025641024
40000,0.0,20098.727496917385
40000,0.0,19880.895294117647
40000,0.0,19676.441807909603
40000,0.0,19492.414581066376
40000,0.0,19114.026
40000,0.0,18945.68756027001
45000,0.0,23842.75748502994
45000,0.0,22504.565989847717
45000,0.0,23327.749295774647
45000,0.0,22568.900255754477
45000,0.0,21914.125874125875
45000,0.0,21444.115217391303
45000,0.0,21045.50806451613
45000,0.0,20671.43445692884
45000,0.0,20963.381729200653
45000,0.0,20993.808970099668
45000,0.0,21131.682737169518
45000,0.0,21064.75
45000,0.0,20867.378681626928
45000,0.0,20787.783892617448
45000,0.0,20610.89358974359
45000,0.04797047970479705,20360.0578817734
45000,0.1927144535840188,20152.60823529412
45000,0.06200676437429538,19935.43566591422
45000,0.06731813246471227,19758.289130434783
45000,0.15191146881287726,19405.012084592145
45000,0.0647342995169082,19239.660541586072
50000,0.0,24117.595808383234
50000,0.0,22773.4923857868
50000,0.0,23597.85070422535
50000,0.0,22837.70588235294
50000,0.0,22193.495327102803
50000,0.0,21716.54446854664
50000,0.0,21305.399193548386
50000,0.0,20928.260299625468
50000,0.0,21189.698205546494
50000,0.0,21228.844112769486
50000,0.0,21362.2507788162
50000,0.0,21311.86982248521
50000,0.0,21120.84593837535
50000,0.0,21048.228187919463
50000,0.0,20891.206675224646
50000,0.0,20622.0221402214
50000,0.0,20421.9222614841
50000,0.0,20211.539503386004
50000,0.0010869565217391304,20025.324265505984
50000,0.09246231155778895,19683.726358148895
50000,0.059961315280464215,19508.74733785092
55000,0.0,24404.314371257486
55000,0.0,23065.03299492386
55000,0.0,23881.062146892655
55000,0.0,23113.37851662404
55000,0.0,22462.729603729604
55000,0.0,21984.93913043478
55000,0.0,21579.441532258064
55000,0.0,21190.232209737827
55000,0.0,21448.117647058825
55000,0.0,21481.780366056573
55000,0.0,21606.19937694704
55000,0.0,21567.476331360947
55000,0.0,21399.025280898877
55000,0.0,21324.072483221476
55000,0.0,21157.46923076923
55000,0.06150061500615006,20897.79802955665
55000,0.18588235294117647,20694.890459363956
55000,0.12429378531073447,20497.610859728506
55000,0.11509229098805646,20298.05217391304
55000,0.21428571428571427,19956.785498489426
55000,0.06963249516441006,19781.83930300097
60000,0.0,46064.616766467065
60000,0.0,43373.77551020408
60000,0.0,45017.621468926554
60000,0.0,43495.10769230769
60000,0.0,42205.13084112149
60000,0.0,41247.45217391304
60000,0.0,40313.61693548387
60000,0.0,39435.64312267658
60000,0.0,38235.908256880735
60000,0.0,39792.03908794788
60000,0.0,40866.25856697819
60000,0.0,40029.527696793004
60000,0.0,39634.64640883978
60000,0.0,34863.13657407407
60000,0.0,31375.994035785287
60000,0.10024449877750612,38898.5931372549
60000,0.32181818181818184,30662.58287795993
60000,0.1824561403508772,30425.144112478032
60000,0.14189189189189189,30199.10659898477
60000,0.2223926380368098,29132.351766513057
60000,0.10755813953488372,28533.81804949054
65000,0.0,46334.706586826345
65000,0.0,43770.54358974359
