time,memory_offset,activation_count
265,0xa1a,490955.0
266,0xa1c,490929.0
267,0xa1e,490422.0
268,0xa20,490244.0
269,0xa22,489611.0
270,0xa24,489593.0
271,0xa26,489990.0
272,0xa28,490208.0
273,0xa2a,490688.0
274,0xa2c,491206.0
275,0xa2e,491286.0
276,0xa30,491223.0
277,0xa32,491158.0
278,0xa34,491133.0
279,0xa36,491142.0
280,0xa38,490401.0
281,0xa3a,490270.0
282,0xa3c,490270.0
283,0xa3e,489801.0
284,0xa40,488850.0
285,0xa42,489406.0
286,0xa44,492639.0
287,0xa46,499637.0
288,0xa48,485424.0
289,0xa4a,487698.0
290,0xa4c,491701.0
291,0xa4e,496261.0
292,0xa50,492094.0
293,0xa52,488700.0
294,0xa54,486315.0
295,0xa56,486152.0
296,0xa58,485535.0
297,0xa5a,484687.0
298,0xa5c,481769.0
299,0xa5e,501998.0
300,0xa60,494102.0
301,0xa62,495301.0
302,0xa64,487670.0
303,0xa66,488730.0
304,0xa68,487639.0
305,0xa6a,492490.0
306,0xa6c,490002.0
307,0xa6e,495856.0
308,0xa70,490803.0
309,0xa72,491418.0
310,0xa74,498445.0
311,0xa76,491559.0
312,0xa78,496373.0
313,0xa7a,500228.0
314,0xa7c,482832.0
315,0xa7e,491123.0
316,0xa80,478789.0
317,0xa82,495782.0
318,0xa84,477894.0
319,0xa86,490228.0
320,0xa88,493386.0
321,0xa8a,489043.0
322,0xa8c,494866.0
323,0xa8e,491270.0
324,0xa90,486530.0
325,0xa92,489117.0
326,0xa94,487491.0
327,0xa96,488451.0
328,0xa98,488451.0
329,0xa9a,489260.0
330,0xa9c,486986.0
331,0xa9e,488805.0
332,0xaa0,487811.0
333,0xaa2,487811.0
334,0xaa4,488472.0
335,0xaa6,490269.0
336,0xaa8,486917.0
337,0xaaa,486110.0
338,0xaac,486701.0
339,0xaae,487512.0
340,0xab0,487592.0
341,0xab2,488579.0
342,0xab4,485450.0
343,0xab6,489097.0
344,0xab8,491677.0
345,0xaba,491654.0
346,0xabc,489127.0
347,0xabe,491979.0
348,0xac0,492926.0
349,0xac2,493509.0
350,0xac4,493304.0
351,0xac6,493105.0
352,0xac8,492991.0
353,0xaca,493129.0
354,0xacc,493589.0
355,0xace,493377.0
356,0xad0,493339.0
357,0xad2,493319.0
358,0xad4,492981.0
359,0xad6,460154.0
360,0xad8,456111.0
361,0xada,454269.0
362,0xadc,453146.0
363,0xade,451669.0
364,0xae0,452348.0
365,0xae2,456150.0
366,0xae4,466021.0
367,0xae6,453683.0
368,0xae8,452104.0
369,0xaea,450900.0
370,0xaec,456408.0
371,0xaee,462572.0
372,0xaf0,455699.0
373,0xaf2,454520.0
374,0xaf4,452365.0
375,0xaf6,452337.0
376,0xaf8,450894.0
377,0xafa,451371.0
378,0xafc,452102.0
379,0xafe,454010.0
380,0xb00,453455.0
381,0xb02,453388.0
382,0xb04,453510.0
383,0xb06,453673.0
384,0xb08,453192.0
385,0xb0a,454169.0
386,0xb0c,454106.0
387,0xb0e,454190.0
388,0xb10,454248.0
389,0xb12,455221.0
390,0xb14,454814.0
391,0xb16,452318.0
392,0xb18,453886.0
393,0xb1a,452455.0
394,0xb1c,452868.0
395,0xb1e,451252.0
396,0xb20,451475.0
397,0xb22,451466.0
398,0xb24,451253.0
399,0xb26,447825.0
400,0xb28,447825.0
401,0xb2a,452363.0
402,0xb2c,453940.0
403,0xb2e,451121.0
404,0xb30,449118.0
405,0xb32,448100.0
406,0xb34,451284.0
407,0xb36,449162.0
408,0xb38,448988.0
409,0xb3a,450643.0
410,0xb3c,450855.0
411,0xb3e,449709.0
412,0xb40,446197.0
413,0xb42,454485.0
414,0xb44,453553.0
415,0xb46,456269.0
416,0xb48,455358.0
417,0xb4a,450701.0
418,0xb4c,457332.0
419,0xb4e,453682.0
420,0xb50,458836.0
421,0xb52,453783.0
422,0xb54,450426.0
423,0xb56,455005.0
424,0xb58,454793.0
425,0xb5a,456067.0
426,0xb5c,456071.0
427,0xb5e,456071.0
428,0xb60,457331.0
429,0xb62,456563.0
430,0xb64,454907.0
431,0xb66,450292.0
432,0xb68,453008.0
433,0xb6a,447783.0
434,0xb6c,449960.0
435,0xb6e,450307.0
436,0xb70,452545.0
437,0xb72,452715.0
438,0xb74,453013.0
439,0xb76,453149.0
440,0xb78,454425.0
