time,dram_rapl,hs_success_rate
0.0,0,0.0
0.24423964,0,0.0
0.48847928,0,0.0
0.73271892,63049.25,0.0
0.97695856,63033.75,0.0
1.2211982,63064.5,0.0
1.46543784,63033.75,0.0
1.70967748,63034.0,0.0
1.95391712,63064.5,0.0
2.19815676,63033.75,0.0
2.4423964,63064.5,0.0
2.68663604,63293.25,0.0
2.93087568,63079.75,0.0
3.17511532,63064.25,0.0
3.41935496,63034.0,0.0
3.6635946,63079.75,0.0
3.90783424,63064.25,0.0
4.15207388,63034.0,0.0
4.39631352,63064.5,0.0
4.64055316,63033.75,0.0
4.8847928,63034.0,0.0
5.12903244,63125.5,0.0
5.37327208,63125.25,0.0
5.61751172,63110.25,0.0
5.86175136,63125.5,0.0
6.105991,63079.75,0.0
6.35023064,63110.0,0.0
6.59447028,63140.75,0.0
6.83870992,63140.75,0.0
7.08294956,63125.5,0.0
7.3271892,63171.25,0.0
7.57142884,63049.0,0.0
7.81566848,63034.0,0.0
8.05990812,63130.666666666664,0.0
8.30414776,63049.0,0.0
8.5483874,63034.0,0.0
8.79262704,63033.75,0.0
9.03686668,63049.25,0.0
9.28110632,63064.5,0.0
9.52534596,63033.75,0.0
9.7695856,63049.25,0.0
10.01382524,63033.75,0.0
10.25806488,63049.25,0.0
10.50230452,63049.25,0.0
10.74654416,63033.75,0.0
10.9907838,63034.0,0.0
11.23502344,45425.25,0.25
11.47926308,31570.25,0.5
11.72350272,31753.5,0.25
11.96774236,31585.75,1.0
12.211982,31600.75,0.0
12.45622164,31616.25,0.75
12.70046128,31570.25,0.75
12.94470092,31555.25,0.25
13.18894056,31570.25,0.5
13.4331802,31555.0,0.0
13.67741984,31555.25,1.0
13.92165948,31555.0,0.75
14.16589912,31570.25,0.75
14.41013876,31631.5,0.75
14.6543784,31570.25,0.5
14.89861804,31555.25,0.75
15.14285768,31692.5,0.0
15.38709732,31555.0,0.5
15.63133696,31555.0,0.25
15.8755766,31555.25,0.0
16.11981624,31555.0,0.0
16.36405588,31555.0,0.25
16.60829552,31570.5,0.25
16.85253516,31555.0,0.0
17.0967748,31555.25,0.5
17.34101444,31539.75,0.25
17.58525408,31539.75,0.5
17.82949372,31570.5,0.25
18.07373336,31661.75,0.0
18.317973,31601.0,0.5
18.56221264,31570.25,0.0
18.80645228,31601.0,0.25
19.05069192,31585.5,0.5
19.29493156,31555.25,0.5
19.5391712,31555.0,0.0
19.78341084,31570.25,0.5
20.02765048,31570.5,0.5
20.27189012,31585.5,0.5
20.51612976,31555.25,0.75
20.7603694,31570.25,0.75
21.00460904,31631.5,0.25
21.24884868,55358.75,0.0
21.49308832,63049.0,0.0
21.73732796,63034.0,0.0
21.9815676,63033.75,0.0
22.22580724,63049.25,0.0
22.47004688,63064.5,0.0
22.71428652,63049.0,0.0
22.95852616,63079.75,0.0
23.2027658,63125.5,0.0
23.44700544,63064.25,0.0
23.69124508,63049.25,0.0
23.93548472,63064.5,0.0
24.17972436,63049.0,0.0
24.423964,63064.5,0.0
24.66820364,63049.25,0.0
24.91244328,63064.25,0.0
25.15668292,63034.0,0.0
25.40092256,63049.0,0.0
25.6451622,63064.5,0.0
25.88940184,63049.25,0.0
26.13364148,63049.0,0.0
26.37788112,63018.75,0.0
26.62212076,63293.25,0.0
26.8663604,62784.666666666664,0.0
27.11060004,63049.25,0.0
27.35483968,63033.75,0.0
27.59907932,63064.5,0.0
27.84331896,63033.75,0.0
28.0875586,63049.25,0.0
28.33179824,63049.25,0.0
28.57603788,63064.25,0.0
28.82027752,63018.75,0.0
29.06451716,63339.0,0.0
29.3087568,63079.75,0.0
29.55299644,63033.75,0.0
29.79723608,63064.5,0.0
30.04147572,63049.25,0.0
30.28571536,63049.0,0.0
30.529955,63034.0,0.0
30.77419464,63034.0,0.0
31.01843428,63049.0,0.0
31.26267392,63034.0,0.0
31.50691356,63064.25,0.0
31.7511532,63247.5,0.0
31.99539284,63049.25,0.0
32.23963248,53421.0,0.25
32.48387212,31555.0,0.5
32.72811176,31570.25,0.75
32.9723514,31555.25,0.25
33.21659104,31585.5,0.25
33.46083068,31570.5,0.5
33.70507032,31585.5,0.75
33.94930996,31585.75,0.75
34.1935496,31570.25,0.5
34.43778924,31555.0,0.25
34.68202888,31555.25,0.25
34.92626852,31570.25,0.0
35.17050816,31570.5,0.25
35.4147478,31555.0,0.0
35.65898744,31555.0,0.0
35.90322708,31555.25,0.5
36.14746672,31738.25,0.5
36.39170636,31555.0,0.25
36.635946,31555.0,0.75
36.88018564,31570.5,0.25
37.12442528,31570.25,0.25
37.36866492,31585.75,0.25
37.61290456,31616.0,0.25
37.8571442,31570.25,0.25
38.10138384,31585.75,0.5
38.34562348,31570.25,0.25
38.58986312,31570.5,0.5
38.83410276,31570.25,0.0
39.0783424,31570.5,0.0
39.32258204,31707.5,0.25
39.56682168,31601.0,0.25
39.81106132,31539.75,0.25
40.05530096,31555.25,0.0
40.2995406,31539.75,0.5
40.54378024,31555.0,0.75
40.78801988,31570.5,1.0
41.03225952,31539.75,0.75
41.27649916,31555.0,0.5
41.5207388,31555.25,0.0
41.76497844,31555.0,0.0
42.00921808,31555.25,0.0
42.25345772,47088.5,0.25
42.49769736,63033.75,0.0
42.741937,63049.25,0.0
42.98617664,63049.0,0.0
43.23041628,63064.5,0.0
43.47465592,63049.25,0.0
43.71889556,63049.0,0.0
43.9631352,63308.5,0.0
44.20737484,63049.25,0.0
44.45161448,63034.0,0.0
44.69585412,63018.5,0.0
44.94009376,63049.25,0.0
45.1843334,63125.5,0.0
45.42857304,63018.5,0.0
45.67281268,63110.25,0.0
45.91705232,63130.666666666664,0.0
46.16129196,63064.25,0.0
46.4055316,63034.0,0.0
46.64977124,63033.75,0.0
46.89401088,63064.5,0.0
47.13825052,63064.5,0.0
47.38249016,63079.5,0.0
47.6267298,63018.75,0.0
47.87096944,63034.0,0.0
48.11520908,63033.75,0.0
48.35944872,63049.25,0.0
48.60368836,63033.75,0.0
48.847928,63034.0,0.0
49.09216764,63049.25,0.0
49.33640728,63064.25,0.0
49.58064692,63034.0,0.0
49.82488656,63064.25,0.0
50.0691262,63034.0,0.0
50.31336584,63064.5,0.0
50.55760548,63033.75,0.0
50.80184512,63064.5,0.0
51.04608476,63064.5,0.0
51.2903244,63049.0,0.0
51.53456404,63049.25,0.0
51.77880368,63064.25,0.0
52.02304332,63034.0,0.0
52.26728296,63034.0,0.0
52.5115226,63033.75,0.0
52.75576224,63034.0,0.0
53.00000188,63278.0,0.0
53.24424152,61416.5,0.0
53.48848116,31433.0,0.0
53.7327208,31555.0,0.0
53.97696044,31738.25,0.25
54.22120008,31692.5,0.25
54.46543972,31692.25,0.25
54.70967936,31570.5,0.5
54.953919,31585.5,0.5
55.19815864,31662.0,0.5
55.44239828,31585.5,0.0
55.68663792,31601.0,0.25
55.93087756,31570.25,0.25
56.1751172,31570.5,0.5
56.41935684,31539.75,0.75
56.66359648,31707.75,0.25
56.90783612,31585.5,0.25
57.15207576,31570.5,0.75
57.3963154,31570.25,0.25
57.64055504,31631.5,0.25
57.88479468,31555.0,0.0
58.12903432,31585.5,0.25
58.37327396,31540.0,0.0
58.6175136,31555.0,0.5
58.86175324,31540.0,0.0
59.10599288,31555.0,0.0
59.35023252,31585.5,0.25
59.59447216,31570.5,0.25
59.8387118,31570.25,0.5
60.08295144,31570.5,0.25
60.32719108,31570.25,0.5
60.57143072,31555.0,0.75
60.81567036,31570.5,0.5
61.05991,31585.5,0.25
61.30414964,31570.5,0.25
61.54838928,31570.25,0.0
61.79262892,31570.5,0.0
62.03686856,31555.0,0.0
62.2811082,31570.25,0.25
62.52534784,31555.25,0.0
62.76958748,31616.0,0.25
63.01382712,31707.75,0.25
63.25806676,39245.5,0.0
63.5023064,63049.25,0.0
63.74654604,63049.0,0.0
63.99078568,63049.25,0.0
64.23502532,63064.25,0.0
64.47926496,63049.25,0.0
64.7235046,63191.666666666664,0.0
64.96774424,63033.75,0.0
65.21198388,63049.25,0.0
65.45622352,63064.5,0.0
65.70046316,63064.25,0.0
65.9447028,63064.5,0.0
66.18894244,63079.75,0.0
66.43318208,63140.75,0.0
66.67742172,63064.25,0.0
66.92166136,63064.5,0.0
67.165901,63049.0,0.0
67.41014064,63064.5,0.0
67.65438028,63049.25,0.0
67.89861992,63049.0,0.0
68.14285956,63049.25,0.0
68.3870992,63018.75,0.0
68.63133884,63079.5,0.0
68.87557848,63049.25,0.0
69.11981812,63049.0,0.0
69.36405776,63049.25,0.0
69.6082974,63049.25,0.0
69.85253704,63033.75,0.0
70.09677668,63049.25,0.0
70.34101632,63323.75,0.0
70.58525596,63034.0,0.0
70.8294956,63064.25,0.0
71.07373524,63049.25,0.0
71.31797488,63125.5,0.0
71.56221452,63033.75,0.0
71.80645416,63034.0,0.0
72.0506938,63049.25,0.0
72.29493344,63140.5,0.0
72.53917308,63064.5,0.0
72.78341272,63079.75,0.0
73.02765236,63064.25,0.0
73.271892,63095.0,0.0
73.51613164,63064.5,0.0
73.76037128,63140.75,0.0
74.00461092,63140.5,0.0
74.24885056,63095.0,0.0
74.4930902,38360.5,0.0
74.73732984,31601.0,0.75
74.98156948,31616.0,0.5
75.22580912,31601.0,0.25
75.47004876,31646.5,0.25
75.7142884,31601.0,0.5
75.95852804,31570.25,0.25
76.20276768,31585.75,0.75
76.44700732,31555.0,0.0
76.69124696,31539.75,0.75
76.9354866,31570.5,0.5
77.17972624,31570.25,0.25
77.42396588,31585.75,0.5
77.66820552,31585.5,0.25
