time,hs_activations,rapl_delta
17.806147201,433685,646544
17.891343644,433733,638853
17.976541177,433693,638609
18.061737034,433727,638670
18.146934256,433767,638854
18.232131783,433733,646666
18.317328112,433693,638792
18.402525216,433727,638792
18.487722446,433699,638793
18.572919147,433665,638853
18.658116917,433693,638670
18.743313241,433727,646544
18.828509818,433699,638853
18.913706541,433722,638793
18.998904308,433703,638792
19.084100537,433719,638670
19.169297153,433738,646666
19.25449381,433722,638792
19.339690725,433703,638793
19.424888428,433719,638853
19.5100867,433705,646666
19.595282279,433689,638731
19.680478819,433703,638609
19.76567681,433691,638793
19.850873506,433701,638792
19.936069202,433693,646666
20.021266027,433684,638914
20.10646385,433672,638792
20.191660675,433682,638854
20.27685734,433674,638609
20.362054352,433680,638853
20.447251646,433688,646666
20.532448554,433682,638792
20.617645327,433674,638854
20.702842299,433680,638609
20.788038939,433675,638853
20.873234835,433679,646544
20.958432703,433685,638914
21.043628871,433680,638671
21.128827689,433675,638792
21.214023068,433679,638853
21.299219915,433685,646483
21.384417018,433691,638670
21.469614321,433699,638793
21.554812538,433709,638670
21.640008397,433701,638670
21.725204822,433707,646666
21.810401049,433702,638731
21.895597912,433695,638670
21.980796798,433701,638854
22.065992382,433696,638609
22.151188894,433691,646788
22.236385688,433695,638670
22.321582951,433692,638731
22.406780194,433687,638671
22.491976854,433691,638731
22.577174393,433695,646299
22.662370312,433701,638793
22.74756709,433707,638792
22.832764349,433702,638792
22.917961197,433695,638854
23.003157967,433701,646543
23.088354976,433696,638976
23.173552341,433691,638731
23.25874893,433695,638854
23.343945968,433692,638609
23.429143219,433687,638853
23.514340036,433691,646544
23.599536231,433688,638853
23.684733379,433690,638915
23.769930039,433693,638609
23.855126873,433697,646482
23.94032413,433702,638793
24.025521275,433707,638914
24.11071884,433703,638670
24.195915215,433706,638732
24.281112309,433711,646421
24.366308981,433707,638793
24.451504891,433703,638853
24.536703041,433706,638731
24.621899448,433703,638732
24.707096768,433706,646482
24.792293473,433709,638854
24.877490705,433706,638548
24.962687687,433709,638914
25.047884119,433711,638548
25.133081322,433714,646727
25.218278068,433718,638793
25.303474503,433723,638670
25.38867116,433719,638731
25.473868197,433722,638731
25.559066057,433726,638610
25.644262509,433723,646421
25.729458915,433719,638854
25.814657046,433722,638914
25.899853299,433719,638548
25.985050053,433716,638792
26.070247301,433719,646605
26.155443998,433717,638793
26.240641191,433718,638731
26.325836915,433721,638731
26.411034088,433723,638731
26.496230805,433726,646605
26.581428106,433730,638670
26.666625228,433727,638793
26.751822077,433730,638426
26.837018757,433733,638731
26.922216131,433736,646788
