time,candidate_byte_value,success_rate
129.37997952,R,0.75
129.8700552,R,0.625
130.36013088,R,0.875
130.85020656,R,0.875
131.34028224,R,0.75
131.83035792,R,1.0
132.3204336,R,0.625
132.81050928,R,1.0
133.30058496,R,0.875
133.79066064,R,0.875
134.28073632,R,0.75
134.770812,R,0.375
135.26088768,R,0.625
135.75096336,S,0.75
136.24103904,S,0.375
136.73111472,S,0.25
137.2211904,S,0.25
137.71126608,S,0.125
138.20134176,S,0.25
138.69141744,S,0.25
139.18149312,S,0.375
139.6715688,S,0.125
140.16164448,S,0.375
140.65172016,S,0.25
141.14179584,S,0.375
141.63187152,S,0.375
142.1219472,S,0.25
142.61202288,S,0.375
143.10209856,T,0.375
143.59217424,T,0.625
144.08224992,T,0.75
144.5723256,T,0.875
145.06240128,T,1.0
145.55247696,T,0.75
146.04255264,T,1.0
146.53262832,T,0.625
147.022704,T,0.875
147.51277968,T,0.875
148.00285536,T,0.75
148.49293104,T,0.75
148.98300672,T,0.625
149.4730824,T,0.875
149.96315808,T,1.0
150.45323376,U,0.75
150.94330944,U,0.875
151.43338512,U,1.0
151.9234608,U,0.875
152.41353648,U,0.625
152.90361216,U,0.75
153.39368784,U,0.875
153.88376352,U,0.625
154.3738392,U,0.5
154.86391488,U,0.625
155.35399056,U,0.75
155.84406624,U,0.75
156.33414192,U,0.5
156.8242176,U,0.875
157.31429328,U,0.75
157.80436896,V,1.0
158.29444464,V,0.875
158.78452032,V,0.5
159.274596,V,1.0
159.76467168,V,0.875
160.25474736,V,1.0
160.74482304,V,1.0
161.23489872,V,0.75
161.7249744,V,1.0
162.21505008,V,0.875
162.70512576,V,0.75
163.19520144,V,0.875
163.68527712,V,1.0
164.1753528,V,0.625
164.66542848,V,0.875
165.15550416,V,0.375
165.64557984,W,1.0
166.13565552,W,0.75
166.6257312,W,0.5
167.11580688,W,1.0
167.60588256,W,0.875
168.09595824,W,0.75
168.58603392,W,0.75
169.0761096,W,0.625
169.56618528,W,1.0
170.05626096,W,0.75
170.54633664,W,0.875
171.03641232,W,0.875
171.526488,W,0.625
172.01656368,W,1.0
172.50663936,W,0.75
172.99671504,X,1.0
173.48679072,X,0.875
173.9768664,X,0.75
174.46694208,X,1.0
174.95701776,X,0.5
175.44709344,X,0.875
175.93716912,X,0.625
176.4272448,X,0.875
176.91732048,X,0.75
177.40739616,X,0.75
177.89747184,X,0.875
178.38754752,X,0.75
178.8776232,X,0.625
179.36769888,X,0.75
179.85777456,X,0.75
180.34785024,Y,0.875
180.83792592,Y,0.625
181.3280016,Y,0.875
181.81807728,Y,0.625
182.30815296,Y,1.0
182.79822864,Y,0.875
183.28830432,Y,0.875
183.77838,Y,1.0
184.26845568,Y,0.5
184.75853136,Y,0.75
185.24860704,Y,0.75
185.73868272,Y,1.0
186.2287584,Y,0.5
186.71883408,Y,0.875
187.20890976,Y,0.875
187.69898544,Z,0.875
188.18906112,Z,0.875
