base_index,flip_index,start_time,end_time,flip,flip_value
459953,459961,1644174794161779774,1644174794189884241,0,18446744073709551615
459953,459961,1644174794189919629,1644174794217974470,0,18446744073709551615
459953,459961,1644174794218008735,1644174794246071382,0,18446744073709551615
459953,459961,1644174794246106330,1644174794274172900,0,18446744073709551615
459953,459961,1644174794274209093,1644174794302264485,0,18446744073709551615
459953,459961,1644174794302298728,1644174794330428299,0,18446744073709551615
459953,459961,1644174794330468928,1644174794358525632,1,18446742974197923839
459953,459961,1644174794358677279,1644174794386784818,1,18446742974197923839
459953,459961,1644174794386825030,1644174794414966623,1,18446742974197923839
459953,459961,1644174794415003110,1644174794443072231,0,18446744073709551615
459953,459961,1644174794443109278,1644174794471172658,0,18446744073709551615
459953,459961,1644174794471209533,1644174794499323414,0,18446744073709551615
459953,459961,1644174794499359429,1644174794527425799,0,18446744073709551615
459953,459961,1644174794527461042,1644174794555548142,0,18446744073709551615
459953,459961,1644174794555582601,1644174794583672991,0,18446744073709551615
459953,459961,1644174794583709110,1644174794611770197,0,18446744073709551615
459953,459961,1644174794611804154,1644174794639899349,0,18446744073709551615
459953,459961,1644174794639934352,1644174794668012554,1,18446742974197923839
459953,459961,1644174794668164588,1644174794696309925,0,18446744073709551615
459953,459961,1644174794696351179,1644174794724448022,1,18446742974197923839
459953,459961,1644174794724486062,1644174794752569732,1,18446742974197923839
459953,459961,1644174794752606074,1644174794780684833,0,18446744073709551615
459953,459961,1644174794780721144,1644174794808753776,0,18446744073709551615
459953,459961,1644174794808788850,1644174794836879519,0,18446744073709551615
459953,459961,1644174794836915645,1644174794865013290,0,18446744073709551615
459953,459961,1644174794865047701,1644174794893174396,0,18446744073709551615
459953,459961,1644174794893210912,1644174794921311755,0,18446744073709551615
459953,459961,1644174794921347431,1644174794949398746,0,18446744073709551615
459953,459961,1644174794949434358,1644174794977560965,0,18446744073709551615
459953,459961,1644174794977597318,1644174795005685781,0,18446744073709551615
459953,459961,1644174795005720620,1644174795033806359,1,18446742974197923839
459953,459961,1644174795033958259,1644174795062031491,0,18446744073709551615
459953,459961,1644174795062072386,1644174795090141483,0,18446744073709551615
459953,459961,1644174795090179070,1644174795118225444,1,18446742974197923839
459953,459961,1644174795118261948,1644174795146360217,0,18446744073709551615
459953,459961,1644174795146396830,1644174795174459857,0,18446744073709551615
459953,459961,1644174795174496228,1644174795202550312,0,18446744073709551615
459953,459961,1644174795202584510,1644174795230730453,0,18446744073709551615
459953,459961,1644174795230766056,1644174795258829714,0,18446744073709551615
459953,459961,1644174795258864176,1644174795287015989,0,18446744073709551615
459953,459961,1644174795287052544,1644174795315134576,0,18446744073709551615
459953,459961,1644174795315168967,1644174795343235195,0,18446744073709551615
459953,459961,1644174795343270743,1644174795371331122,0,18446744073709551615
459953,459961,1644174795371365938,1644174795399440737,0,18446744073709551615
459953,459961,1644174795399475918,1644174795427570424,1,18446742974197923839
459953,459961,1644174795427723549,1644174795455799252,1,18446742974197923839
459953,459961,1644174795455839827,1644174795483952795,1,18446742974197923839
459953,459961,1644174795483991646,1644174795512046693,0,18446744073709551615
459953,459961,1644174795512082646,1644174795540143262,0,18446744073709551615
459953,459961,1644174795540178858,1644174795568260564,0,18446744073709551615
459953,459961,1644174795568294730,1644174795596350167,0,18446744073709551615
459953,459961,1644174795596386125,1644174795624444834,0,18446744073709551615
459953,459961,1644174795624479866,1644174795652537457,0,18446744073709551615
459953,459961,1644174795652571695,1644174795680648392,0,18446744073709551615
459953,459961,1644174795680683327,1644174795708712937,0,18446744073709551615
459953,459961,1644174795708748020,1644174795736835221,0,18446744073709551615
459953,459961,1644174795736870079,1644174795764947252,0,18446744073709551615
459953,459961,1644174795764981131,1644174795793052257,1,18446742974197923839
459953,459961,1644174795793208269,1644174795821290524,0,18446744073709551615
459953,459961,1644174795821331047,1644174795849376282,0,18446744073709551615
459953,459961,1644174795849411679,1644174795877477241,1,18446742974197923839
459953,459961,1644174795877514576,1644174795905637307,0,18446744073709551615
459953,459961,1644174795905674299,1644174795933760770,0,18446744073709551615
459953,459961,1644174795933797136,1644174795961923367,0,18446744073709551615
459953,459961,1644174795961958866,1644174795990019413,0,18446744073709551615
459953,459961,1644174795990056871,1644174796018143163,0,18446744073709551615
459953,459961,1644174796018177829,1644174796046423146,0,18446744073709551615
459953,459961,1644174796046459323,1644174796074826378,0,18446744073709551615
459953,459961,1644174796074863821,1644174796102915923,0,18446744073709551615
459953,459961,1644174796102951297,1644174796131058926,0,18446744073709551615
459953,459961,1644174796131094794,1644174796159277184,1,18446742974197923839
459953,459961,1644174796159429422,1644174796187506623,0,18446744073709551615
459953,459961,1644174796187545875,1644174796215622730,1,18446742974197923839
459953,459961,1644174796215660868,1644174796243760896,0,18446744073709551615
459953,459961,1644174796243797672,1644174796271894717,0,18446744073709551615
459953,459961,1644174796271931719,1644174796300011737,0,18446744073709551615
459953,459961,1644174796300047912,1644174796328114938,0,18446744073709551615
459953,459961,1644174796328151129,1644174796356217752,0,18446744073709551615
459953,459961,1644174796356253528,1644174796384343636,0,18446744073709551615
459953,459961,1644174796384380573,1644174796412573102,0,18446744073709551615
459953,459961,1644174796412609184,1644174796440673406,0,18446744073709551615
459953,459961,1644174796440708982,1644174796469413865,0,18446744073709551615
459953,459961,1644174796469452742,1644174796497531443,0,18446744073709551615
459953,459961,1644174796497566803,1644174796525631940,1,18446742974197923839
459953,459961,1644174796525785898,1644174796553885275,1,18446742974197923839
459953,459961,1644174796553925238,1644174796582007363,1,18446742974197923839
459953,459961,1644174796582046175,1644174796610107595,0,18446744073709551615
459953,459961,1644174796610144566,1644174796638297892,0,18446744073709551615
459953,459961,1644174796638334155,1644174796666410724,0,18446744073709551615
459953,459961,1644174796666445447,1644174796694582694,0,18446744073709551615
459953,459961,1644174796694618738,1644174796722720523,0,18446744073709551615
459953,459961,1644174796722757422,1644174796750817069,0,18446744073709551615
459953,459961,1644174796750852512,1644174796778926381,0,18446744073709551615
459953,459961,1644174796778962321,1644174796807027564,0,18446744073709551615
